window,book,first_ch,last_ch,nodes,edges,avg_degree,density,avg_sentiment,positive_edges,negative_edges,balance
book_1_w001_010,book_1,1,10,26,169,13.0,0.52,0.4861,147,22,0.7754
book_1_w002_011,book_1,2,11,24,162,13.5,0.587,0.4901,142,20,0.7757
book_1_w003_012,book_1,3,12,25,180,14.4,0.6,0.4988,157,23,0.7743
book_1_w004_013,book_1,4,13,24,169,14.0833,0.6123,0.3781,137,32,0.75
book_1_w005_014,book_1,5,14,26,194,14.9231,0.5969,0.4639,167,27,0.7779
book_1_w006_015,book_1,6,15,25,196,15.68,0.6533,0.4136,160,36,0.7358
book_1_w007_016,book_1,7,16,23,167,14.5217,0.6601,0.5027,148,19,0.8067
book_1_w008_017,book_1,8,17,20,130,13.0,0.6842,0.4106,111,19,0.7795
book_1_w009_018,book_1,9,18,20,132,13.2,0.6947,0.439,115,17,0.7797
book_1_w010_019,book_1,10,19,20,132,13.2,0.6947,0.305,103,29,0.7133
book_1_w011_020,book_1,11,20,25,172,13.76,0.5733,0.1704,114,58,0.6755
book_1_w012_021,book_1,12,21,25,160,12.8,0.5333,0.1641,105,55,0.7025
book_1_w013_022,book_1,13,22,25,160,12.8,0.5333,0.1324,105,55,0.7094
book_1_w014_023,book_1,14,23,24,157,13.0833,0.5688,0.2357,111,46,0.7445
book_1_w015_024,book_1,15,24,23,142,12.3478,0.5613,0.2543,102,40,0.7834
book_1_w016_025,book_1,16,25,25,155,12.4,0.5167,0.4652,129,26,0.8015
book_1_w017_026,book_1,17,26,25,164,13.12,0.5467,0.5149,147,17,0.839
book_1_w018_027,book_1,18,27,24,152,12.6667,0.5507,0.5787,140,12,0.8403
book_1_w019_028,book_1,19,28,25,157,12.56,0.5233,0.6236,153,4,0.9421
book_1_w020_029,book_1,20,29,24,144,12.0,0.5217,0.6527,139,5,0.9077
book_1_w021_030,book_1,21,30,25,159,12.72,0.53,0.7393,155,4,0.9334
book_1_w022_031,book_1,22,31,25,178,14.24,0.5933,0.788,174,4,0.9506
book_1_w023_032,book_1,23,32,22,144,13.0909,0.6234,0.7594,138,6,0.9231
book_1_w024_033,book_1,24,33,22,132,12.0,0.5714,0.81,129,3,0.9612
book_1_w025_034,book_1,25,34,23,151,13.1304,0.5968,0.8036,144,7,0.9421
book_1_w026_035,book_1,26,35,22,142,12.9091,0.6147,0.8257,138,4,0.9547
book_1_w027_036,book_1,27,36,20,129,12.9,0.6789,0.749,124,5,0.9066
book_1_w028_037,book_1,28,37,19,123,12.9474,0.7193,0.8143,123,0,1.0
book_1_w029_038,book_1,29,38,18,120,13.3333,0.7843,0.7323,116,4,0.9034
book_1_w030_039,book_1,30,39,18,125,13.8889,0.817,0.8514,124,1,0.9782
book_1_w031_040,book_1,31,40,19,142,14.9474,0.8304,0.8253,139,3,0.9397
book_1_w032_041,book_1,32,41,20,138,13.8,0.7263,0.6559,128,10,0.9392
book_1_w033_042,book_1,33,42,24,174,14.5,0.6304,0.486,135,39,0.7769
book_1_w034_043,book_1,34,43,25,182,14.56,0.6067,0.5095,150,32,0.8668
book_1_w035_044,book_1,35,44,25,180,14.4,0.6,0.4131,140,40,0.7612
book_1_w036_045,book_1,36,45,25,181,14.48,0.6033,0.3801,138,43,0.747
book_1_w037_046,book_1,37,46,26,184,14.1538,0.5662,0.4377,143,41,0.7584
book_1_w038_047,book_1,38,47,26,192,14.7692,0.5908,0.4617,158,34,0.8465
book_1_w039_048,book_1,39,48,28,222,15.8571,0.5873,0.5795,186,36,0.8939
book_1_w040_049,book_1,40,49,28,215,15.3571,0.5688,0.4794,171,44,0.8692
book_1_w041_050,book_1,41,50,29,215,14.8276,0.5296,0.4619,171,44,0.8847
book_1_w042_051,book_1,42,51,30,218,14.5333,0.5011,0.546,184,34,0.9268
book_1_w043_052,book_1,43,52,28,196,14.0,0.5185,0.5825,174,22,0.9083
