t	win_id	book
0	book_1_w001_010	book_1
1	book_1_w002_011	book_1
2	book_1_w003_012	book_1
3	book_1_w004_013	book_1
4	book_1_w005_014	book_1
5	book_1_w006_015	book_1
6	book_1_w007_016	book_1
7	book_1_w008_017	book_1
8	book_1_w009_018	book_1
9	book_1_w010_019	book_1
10	book_1_w011_020	book_1
11	book_1_w012_021	book_1
12	book_1_w013_022	book_1
13	book_1_w014_023	book_1
14	book_1_w015_024	book_1
15	book_1_w016_025	book_1
16	book_1_w017_026	book_1
17	book_1_w018_027	book_1
18	book_1_w019_028	book_1
19	book_1_w020_029	book_1
20	book_1_w021_030	book_1
21	book_1_w022_031	book_1
22	book_1_w023_032	book_1
23	book_1_w024_033	book_1
24	book_1_w025_034	book_1
25	book_1_w026_035	book_1
26	book_1_w027_036	book_1
27	book_1_w028_037	book_1
28	book_1_w029_038	book_1
29	book_1_w030_039	book_1
30	book_1_w031_040	book_1
31	book_1_w032_041	book_1
32	book_1_w033_042	book_1
33	book_1_w034_043	book_1
34	book_1_w035_044	book_1
35	book_1_w036_045	book_1
36	book_1_w037_046	book_1
37	book_1_w038_047	book_1
38	book_1_w039_048	book_1
39	book_1_w040_049	book_1
40	book_1_w041_050	book_1
41	book_1_w042_051	book_1
42	book_1_w043_052	book_1
43	book_1_w044_053	book_1
44	book_1_w045_054	book_1
45	book_1_w046_055	book_1
46	book_1_w047_056	book_1
47	book_1_w048_057	book_1
48	book_1_w049_058	book_1
49	book_1_w050_059	book_1
50	book_1_w051_060	book_1
51	book_1_w052_061	book_1
52	book_1_w053_062	book_1
53	book_1_w054_063	book_1
54	book_1_w055_064	book_1
55	book_1_w056_065	book_1
56	book_1_w057_066	book_1
57	book_1_w058_067	book_1
58	book_2_w001_010	book_2
59	book_2_w002_011	book_2
60	book_2_w003_012	book_2
61	book_2_w004_013	book_2
62	book_2_w005_014	book_2
63	book_2_w006_015	book_2
64	book_2_w007_016	book_2
65	book_2_w008_017	book_2
66	book_2_w009_018	book_2
67	book_2_w010_019	book_2
68	book_2_w011_020	book_2
69	book_2_w012_021	book_2
70	book_2_w013_022	book_2
71	book_2_w014_023	book_2
72	book_2_w015_024	book_2
73	book_2_w016_025	book_2
74	book_2_w017_026	book_2
75	book_2_w018_027	book_2
76	book_2_w019_028	book_2
77	book_2_w020_029	book_2
78	book_2_w021_030	book_2
79	book_2_w022_031	book_2
80	book_2_w023_032	book_2
81	book_2_w024_033	book_2
82	book_2_w025_034	book_2
83	book_2_w026_035	book_2
84	book_2_w027_036	book_2
85	book_2_w028_037	book_2
86	book_2_w029_038	book_2
87	book_2_w030_039	book_2
88	book_2_w031_040	book_2
89	book_2_w032_041	book_2
90	book_2_w033_042	book_2
91	book_2_w034_043	book_2
92	book_2_w035_044	book_2
93	book_2_w036_045	book_2
94	book_2_w037_046	book_2
95	book_2_w038_047	book_2
96	book_2_w039_048	book_2
97	book_2_w040_049	book_2
98	book_2_w041_050	book_2
99	book_2_w042_051	book_2
100	book_2_w043_052	book_2
101	book_2_w044_053	book_2
102	book_2_w045_054	book_2
103	book_2_w046_055	book_2
104	book_2_w047_056	book_2
105	book_2_w048_057	book_2
106	book_2_w049_058	book_2
107	book_2_w050_059	book_2
108	book_2_w051_060	book_2
109	book_2_w052_061	book_2
110	book_2_w053_062	book_2
111	book_2_w054_063	book_2
112	book_2_w055_064	book_2
113	book_2_w056_065	book_2
114	book_2_w057_066	book_2
115	book_2_w058_067	book_2
116	book_2_w059_068	book_2
117	book_2_w060_069	book_2
118	book_2_w061_070	book_2
119	book_2_w062_071	book_2
120	book_2_w063_072	book_2
121	book_2_w064_073	book_2
